Dataset,Model,Batch_Size,Optimizer,Epoch,Train_Loss,Val_Loss,Epoch_Time_sec,Cumulative_Time_sec
Synthetic_784d,DeepLinearAutoencoder,128,SGD,1,0.9999255743026734,1.0002984895706177,0.6996793746948242,0.6996793746948242
Synthetic_784d,DeepLinearAutoencoder,128,SGD,2,0.9999255037307739,1.0002987279891968,0.04571175575256348,0.7453911304473877
Synthetic_784d,DeepLinearAutoencoder,128,SGD,3,0.9999254817962646,1.0002989339828492,0.04568171501159668,0.7910728454589844
Synthetic_784d,DeepLinearAutoencoder,128,SGD,4,0.9999254150390625,1.0002990398406983,0.04574751853942871,0.8368203639984131
Synthetic_784d,DeepLinearAutoencoder,128,SGD,5,0.9999253826141358,1.0002992305755616,0.04582858085632324,0.8826489448547363
Synthetic_784d,DeepLinearAutoencoder,128,SGD,6,0.9999253606796265,1.000299422264099,0.04539918899536133,0.9280481338500977
Synthetic_784d,DeepLinearAutoencoder,128,SGD,7,0.9999253149032593,1.0002995510101318,0.04360532760620117,0.9716534614562988
Synthetic_784d,DeepLinearAutoencoder,128,SGD,8,0.9999252619743347,1.0002996444702148,0.04378986358642578,1.0154433250427246
Synthetic_784d,DeepLinearAutoencoder,128,SGD,9,0.999925253868103,1.0002997407913208,0.04378461837768555,1.0592279434204102
Synthetic_784d,DeepLinearAutoencoder,128,SGD,10,0.999925229549408,1.0002998943328858,0.04629921913146973,1.1055271625518799
Synthetic_784d,DeepLinearAutoencoder,128,SGD,11,0.9999251909255982,1.0002999773025514,0.046291351318359375,1.1518185138702393
Synthetic_784d,DeepLinearAutoencoder,128,SGD,12,0.9999251670837402,1.0003001289367677,0.04400491714477539,1.1958234310150146
Synthetic_784d,DeepLinearAutoencoder,128,SGD,13,0.9999251027107239,1.0003002452850343,0.04482841491699219,1.2406518459320068
Synthetic_784d,DeepLinearAutoencoder,128,SGD,14,0.999925106048584,1.0003003463745117,0.045386314392089844,1.2860381603240967
Synthetic_784d,DeepLinearAutoencoder,128,SGD,15,0.999925106048584,1.0003005304336547,0.04459643363952637,1.330634593963623
Synthetic_784d,DeepLinearAutoencoder,128,SGD,16,0.9999250240325928,1.0003006191253663,0.04492974281311035,1.3755643367767334
Synthetic_784d,DeepLinearAutoencoder,128,SGD,17,0.9999249873161316,1.0003007020950316,0.04508209228515625,1.4206464290618896
Synthetic_784d,DeepLinearAutoencoder,128,SGD,18,0.9999249820709228,1.0003009853363036,0.044402122497558594,1.4650485515594482
Synthetic_784d,DeepLinearAutoencoder,128,SGD,19,0.9999249310493469,1.0003011093139649,0.04507327079772949,1.5101218223571777
Synthetic_784d,DeepLinearAutoencoder,128,SGD,20,0.9999248809814453,1.0003012552261352,0.04448890686035156,1.5546107292175293
Synthetic_784d,DeepLinearAutoencoder,128,SGD,21,0.9999248495101929,1.000301432609558,0.04428505897521973,1.598895788192749
Synthetic_784d,DeepLinearAutoencoder,128,SGD,22,0.9999248037338256,1.0003015928268433,0.04455113410949707,1.643446922302246
Synthetic_784d,DeepLinearAutoencoder,128,SGD,23,0.9999247493743897,1.0003017091751099,0.04419302940368652,1.6876399517059326
Synthetic_784d,DeepLinearAutoencoder,128,SGD,24,0.999924783706665,1.0003017473220825,0.044121742248535156,1.7317616939544678
Synthetic_784d,DeepLinearAutoencoder,128,SGD,25,0.9999246940612793,1.0003018531799317,0.04402637481689453,1.7757880687713623
Synthetic_784d,DeepLinearAutoencoder,128,SGD,26,0.9999247207641602,1.0003019618988036,0.0435638427734375,1.8193519115447998
Synthetic_784d,DeepLinearAutoencoder,128,SGD,27,0.9999246664047241,1.0003020935058593,0.04369759559631348,1.8630495071411133
Synthetic_784d,DeepLinearAutoencoder,128,SGD,28,0.9999246435165405,1.000302285194397,0.04409527778625488,1.9071447849273682
Synthetic_784d,DeepLinearAutoencoder,128,SGD,29,0.9999246048927307,1.0003024415969848,0.043624162673950195,1.9507689476013184
Synthetic_784d,DeepLinearAutoencoder,128,SGD,30,0.9999245629310608,1.0003026056289672,0.04424571990966797,1.9950146675109863
Synthetic_784d,DeepLinearAutoencoder,128,SGD,31,0.9999245338439942,1.0003027172088623,0.043794870376586914,2.0388095378875732
Synthetic_784d,DeepLinearAutoencoder,128,SGD,32,0.9999244813919067,1.000302785873413,0.043511152267456055,2.0823206901550293
Synthetic_784d,DeepLinearAutoencoder,128,SGD,33,0.9999244651794433,1.000302978515625,0.04394650459289551,2.126267194747925
Synthetic_784d,DeepLinearAutoencoder,128,SGD,34,0.999924412727356,1.00030313205719,0.04382586479187012,2.170093059539795
Synthetic_784d,DeepLinearAutoencoder,128,SGD,35,0.9999243869781494,1.0003031930923463,0.044190406799316406,2.2142834663391113
Synthetic_784d,DeepLinearAutoencoder,128,SGD,36,0.999924337387085,1.0003033504486083,0.04398393630981445,2.258267402648926
Synthetic_784d,DeepLinearAutoencoder,128,SGD,37,0.9999243245124817,1.000303572654724,0.04367208480834961,2.3019394874572754
Synthetic_784d,DeepLinearAutoencoder,128,SGD,38,0.9999242844581604,1.0003036785125732,0.04374837875366211,2.3456878662109375
Synthetic_784d,DeepLinearAutoencoder,128,SGD,39,0.9999242324829102,1.000303831100464,0.04369688034057617,2.3893847465515137
Synthetic_784d,DeepLinearAutoencoder,128,SGD,40,0.9999242224693299,1.0003040227890014,0.044461965560913086,2.4338467121124268
Synthetic_784d,DeepLinearAutoencoder,128,Adam,1,0.8737362675666809,0.7131590662002564,0.12801098823547363,0.12801098823547363
Synthetic_784d,DeepLinearAutoencoder,128,Adam,2,0.6665766406059265,0.6586499495506286,0.053431034088134766,0.1814420223236084
Synthetic_784d,DeepLinearAutoencoder,128,Adam,3,0.6146175780296326,0.5392092051506042,0.05020761489868164,0.23164963722229004
Synthetic_784d,DeepLinearAutoencoder,128,Adam,4,0.48942466259002687,0.4412610943317413,0.04662513732910156,0.2782747745513916
Synthetic_784d,DeepLinearAutoencoder,128,Adam,5,0.38720046424865723,0.34480692362785337,0.0472869873046875,0.3255617618560791
Synthetic_784d,DeepLinearAutoencoder,128,Adam,6,0.3353691668510437,0.3305069077014923,0.052048444747924805,0.3776102066040039
Synthetic_784d,DeepLinearAutoencoder,128,Adam,7,0.25370240151882173,0.15002208042144777,0.0574803352355957,0.4350905418395996
Synthetic_784d,DeepLinearAutoencoder,128,Adam,8,0.15463836312294008,0.07653332191705704,0.05360603332519531,0.4886965751647949
Synthetic_784d,DeepLinearAutoencoder,128,Adam,9,0.05187865856289864,0.04241640484333038,0.06038260459899902,0.549079179763794
Synthetic_784d,DeepLinearAutoencoder,128,Adam,10,0.03978019616007805,0.038198507070541385,0.05139040946960449,0.6004695892333984
Synthetic_784d,DeepLinearAutoencoder,128,Adam,11,0.037068397969007495,0.03644134393334389,0.05064964294433594,0.6511192321777344
Synthetic_784d,DeepLinearAutoencoder,128,Adam,12,0.03625538033246994,0.03614659133553505,0.052026987075805664,0.70314621925354
Synthetic_784d,DeepLinearAutoencoder,128,Adam,13,0.03618273508548737,0.036180567890405656,0.05045795440673828,0.7536041736602783
Synthetic_784d,DeepLinearAutoencoder,128,Adam,14,0.03621202412247658,0.03618357494473457,0.04886507987976074,0.8024692535400391
Synthetic_784d,DeepLinearAutoencoder,128,Adam,15,0.036170384913682935,0.03619006338715553,0.05141282081604004,0.8538820743560791
Synthetic_784d,DeepLinearAutoencoder,128,Adam,16,0.03619368013739586,0.03617142513394356,0.04762625694274902,0.9015083312988281
Synthetic_784d,DeepLinearAutoencoder,128,Adam,17,0.036182671785354614,0.03612910163402557,0.04628944396972656,0.9477977752685547
Synthetic_784d,DeepLinearAutoencoder,128,Adam,18,0.03616321334242821,0.0361269368827343,0.04602313041687012,0.9938209056854248
Synthetic_784d,DeepLinearAutoencoder,128,Adam,19,0.036156393021345136,0.03617221873998642,0.04654526710510254,1.0403661727905273
Synthetic_784d,DeepLinearAutoencoder,128,Adam,20,0.03625482079386711,0.0361888367831707,0.046600341796875,1.0869665145874023
Synthetic_784d,DeepLinearAutoencoder,128,Adam,21,0.03626701146364212,0.036482533305883406,0.04640007019042969,1.133366584777832
Synthetic_784d,DeepLinearAutoencoder,128,Adam,22,0.036421172231435775,0.036456351429224015,0.04670143127441406,1.180068016052246
Synthetic_784d,DeepLinearAutoencoder,128,Adam,23,0.03652410820126534,0.036739267587661745,0.04652905464172363,1.2265970706939697
Synthetic_784d,DeepLinearAutoencoder,128,Adam,24,0.03651315999031067,0.036772655576467514,0.04667472839355469,1.2732717990875244
Synthetic_784d,DeepLinearAutoencoder,128,Adam,25,0.03729801368713379,0.03822208771109581,0.04680037498474121,1.3200721740722656
Synthetic_784d,DeepLinearAutoencoder,128,Adam,26,0.037332055509090425,0.03941265738010406,0.04642605781555176,1.3664982318878174
Synthetic_784d,DeepLinearAutoencoder,128,Adam,27,0.03820975497364998,0.039225046843290326,0.04635953903198242,1.4128577709197998
Synthetic_784d,DeepLinearAutoencoder,128,Adam,28,0.037915303498506546,0.03831890353560448,0.04675006866455078,1.4596078395843506
Synthetic_784d,DeepLinearAutoencoder,128,Adam,29,0.03820048588514328,0.03729058554768562,0.05114102363586426,1.5107488632202148
Synthetic_784d,DeepLinearAutoencoder,128,Adam,30,0.03843497261404991,0.03940538382530213,0.04879641532897949,1.5595452785491943
Synthetic_784d,DeepLinearAutoencoder,128,Adam,31,0.31942911422252657,1.0049375591278076,0.049130916595458984,1.6086761951446533
Synthetic_784d,DeepLinearAutoencoder,128,Adam,32,0.5724038438796997,0.2597509013414383,0.04961800575256348,1.6582942008972168
Synthetic_784d,DeepLinearAutoencoder,128,Adam,33,0.15076897865533828,0.06097480008006096,0.04933452606201172,1.7076287269592285
Synthetic_784d,DeepLinearAutoencoder,128,Adam,34,0.04440487152338028,0.037475399762392045,0.05036449432373047,1.757993221282959
Synthetic_784d,DeepLinearAutoencoder,128,Adam,35,0.03686941134929657,0.03639909785985947,0.04927396774291992,1.807267189025879
Synthetic_784d,DeepLinearAutoencoder,128,Adam,36,0.03637977397441864,0.03627740588784218,0.049938201904296875,1.8572053909301758
Synthetic_784d,DeepLinearAutoencoder,128,Adam,37,0.03628057995438576,0.03617275646328926,0.05145621299743652,1.9086616039276123
